"FileName","Size","BackupDate","LastModified","Type","HasSha256"
"ivf-ca-backup_20260304_090000.tar.gz","133252","20260304","2026-03-04 09:00:05","SQL Dump","False"
"ivf_minio_20260304_020003.tar.gz.sha256","108","20260304","2026-03-04 09:00:04","SQL Dump","True"
"ivf_minio_20260304_020003.tar.gz","2152159","20260304","2026-03-04 09:00:04","SQL Dump","False"
"ivf_db_20260304_020000.sql.gz.sha256","105","20260304","2026-03-04 09:00:02","SQL Dump","True"
"ivf_db_20260304_020000.sql.gz","7579818","20260304","2026-03-04 09:00:02","SQL Dump","False"
"ivf_minio_20260303_021712.tar.gz.sha256","108","20260303","2026-03-03 09:17:14","SQL Dump","True"
"ivf_minio_20260303_021712.tar.gz","2152157","20260303","2026-03-03 09:17:14","SQL Dump","False"
"ivf_db_20260303_021710.sql.gz.sha256","105","20260303","2026-03-03 09:17:11","SQL Dump","True"
"ivf_db_20260303_021710.sql.gz","7427679","20260303","2026-03-03 09:17:11","SQL Dump","False"
"ivf_minio_20260303_020151.tar.gz.sha256","108","20260303","2026-03-03 09:01:53","SQL Dump","True"
"ivf_minio_20260303_020151.tar.gz","2152157","20260303","2026-03-03 09:01:53","SQL Dump","False"
"ivf_db_20260303_020149.sql.gz.sha256","105","20260303","2026-03-03 09:01:50","SQL Dump","True"
"ivf_db_20260303_020149.sql.gz","7425886","20260303","2026-03-03 09:01:50","SQL Dump","False"
"ivf-ca-backup_20260303_090000.tar.gz","133246","20260303","2026-03-03 09:00:05","SQL Dump","False"
"ivf_minio_20260303_020003.tar.gz.sha256","108","20260303","2026-03-03 09:00:04","SQL Dump","True"
"ivf_minio_20260303_020003.tar.gz","2152158","20260303","2026-03-03 09:00:04","SQL Dump","False"
"ivf_db_20260303_020000.sql.gz.sha256","105","20260303","2026-03-03 09:00:02","SQL Dump","True"
"ivf_db_20260303_020000.sql.gz","7420651","20260303","2026-03-03 09:00:01","SQL Dump","False"
"ivf_minio_20260302_045305.tar.gz.sha256","108","20260302","2026-03-02 11:53:06","SQL Dump","True"
"ivf_minio_20260302_045305.tar.gz","2152160","20260302","2026-03-02 11:53:06","SQL Dump","False"
"ivf_db_20260302_045303.sql.gz.sha256","105","20260302","2026-03-02 11:53:04","SQL Dump","True"
"ivf_db_20260302_045303.sql.gz","7330375","20260302","2026-03-02 11:53:04","SQL Dump","False"
"ivf_minio_20260302_045211.tar.gz.sha256","108","20260302","2026-03-02 11:52:12","SQL Dump","True"
"ivf_minio_20260302_045211.tar.gz","2152160","20260302","2026-03-02 11:52:12","SQL Dump","False"
"ivf_db_20260302_045208.sql.gz.sha256","105","20260302","2026-03-02 11:52:10","SQL Dump","True"
"ivf_db_20260302_045208.sql.gz","7329753","20260302","2026-03-02 11:52:09","SQL Dump","False"
"ivf_minio_20260302_042815.tar.gz.sha256","108","20260302","2026-03-02 11:28:16","SQL Dump","True"
"ivf_minio_20260302_042815.tar.gz","2152164","20260302","2026-03-02 11:28:16","SQL Dump","False"
"ivf_db_20260302_042813.sql.gz.sha256","105","20260302","2026-03-02 11:28:14","SQL Dump","True"
"ivf_db_20260302_042813.sql.gz","7324302","20260302","2026-03-02 11:28:14","SQL Dump","False"
"ivf_minio_20260302_042631.tar.gz.sha256","108","20260302","2026-03-02 11:26:33","SQL Dump","True"
"ivf_minio_20260302_042631.tar.gz","2152163","20260302","2026-03-02 11:26:33","SQL Dump","False"
"ivf_db_20260302_042629.sql.gz.sha256","105","20260302","2026-03-02 11:26:30","SQL Dump","True"
"ivf_db_20260302_042629.sql.gz","7323349","20260302","2026-03-02 11:26:30","SQL Dump","False"
"ivf_minio_20260302_042006.tar.gz.sha256","108","20260302","2026-03-02 11:20:08","SQL Dump","True"
"ivf_minio_20260302_042006.tar.gz","2152158","20260302","2026-03-02 11:20:08","SQL Dump","False"
"ivf_db_20260302_042004.sql.gz.sha256","105","20260302","2026-03-02 11:20:06","SQL Dump","True"
"ivf_db_20260302_042004.sql.gz","7315926","20260302","2026-03-02 11:20:05","SQL Dump","False"
"ivf_minio_20260302_035613.tar.gz.sha256","108","20260302","2026-03-02 10:56:14","SQL Dump","True"
"ivf_minio_20260302_035613.tar.gz","2152160","20260302","2026-03-02 10:56:14","SQL Dump","False"
"ivf_db_20260302_035610.sql.gz.sha256","105","20260302","2026-03-02 10:56:12","SQL Dump","True"
"ivf_db_20260302_035610.sql.gz","7312377","20260302","2026-03-02 10:56:11","SQL Dump","False"
"ivf_minio_20260302_034902.tar.gz.sha256","108","20260302","2026-03-02 10:49:03","SQL Dump","True"
"ivf_db_20260302_034900.sql.gz.sha256","105","20260302","2026-03-02 10:49:01","SQL Dump","True"
"ivf_minio_20260302_032359.tar.gz.sha256","108","20260302","2026-03-02 10:24:00","SQL Dump","True"
"ivf_db_20260302_032356.sql.gz.sha256","105","20260302","2026-03-02 10:23:58","SQL Dump","True"
"ivf_minio_20260302_031853.tar.gz.sha256","108","20260302","2026-03-02 10:18:54","SQL Dump","True"
"ivf_db_20260302_031850.sql.gz.sha256","105","20260302","2026-03-02 10:18:52","SQL Dump","True"
"ivf_minio_20260302_025801.tar.gz.sha256","108","20260302","2026-03-02 09:58:02","SQL Dump","True"
"ivf_db_20260302_025758.sql.gz.sha256","105","20260302","2026-03-02 09:58:00","SQL Dump","True"
"ivf_minio_20260302_024359.tar.gz.sha256","108","20260302","2026-03-02 09:44:00","SQL Dump","True"
"ivf_db_20260302_024356.sql.gz.sha256","105","20260302","2026-03-02 09:43:58","SQL Dump","True"
"ivf_minio_20260302_023937.tar.gz.sha256","108","20260302","2026-03-02 09:39:38","SQL Dump","True"
"ivf_db_20260302_023935.sql.gz.sha256","105","20260302","2026-03-02 09:39:36","SQL Dump","True"
"ivf_minio_20260302_021705.tar.gz.sha256","108","20260302","2026-03-02 09:17:07","SQL Dump","True"
"ivf_db_20260302_021703.sql.gz.sha256","105","20260302","2026-03-02 09:17:04","SQL Dump","True"
"ivf_minio_20260302_020651.tar.gz.sha256","108","20260302","2026-03-02 09:06:52","SQL Dump","True"
"ivf_db_20260302_020648.sql.gz.sha256","105","20260302","2026-03-02 09:06:50","SQL Dump","True"
"ivf_minio_20260302_020438.tar.gz.sha256","108","20260302","2026-03-02 09:04:40","SQL Dump","True"
"ivf_db_20260302_020436.sql.gz.sha256","105","20260302","2026-03-02 09:04:38","SQL Dump","True"
"ivf-ca-backup_20260302_090000.tar.gz","133266","20260302","2026-03-02 09:00:05","SQL Dump","False"
"ivf_minio_20260302_020003.tar.gz.sha256","108","20260302","2026-03-02 09:00:04","SQL Dump","True"
"ivf_db_20260302_020000.sql.gz.sha256","105","20260302","2026-03-02 09:00:02","SQL Dump","True"
"ivf_minio_20260301_100433.tar.gz.sha256","108","20260301","2026-03-01 17:04:34","SQL Dump","True"
"ivf_minio_20260301_094430.tar.gz.sha256","108","20260301","2026-03-01 16:44:32","SQL Dump","True"
"ivf_minio_20260301_082317.tar.gz.sha256","108","20260301","2026-03-01 15:23:18","SQL Dump","True"
"ivf_minio_20260301_080915.tar.gz.sha256","108","20260301","2026-03-01 15:09:17","SQL Dump","True"
"ivf_minio_20260301_073914.tar.gz.sha256","108","20260301","2026-03-01 14:39:16","SQL Dump","True"
"ivf_db_20260301_073912.sql.gz.sha256","105","20260301","2026-03-01 14:39:13","SQL Dump","True"
"ivf_minio_20260301_073626.tar.gz.sha256","108","20260301","2026-03-01 14:36:27","SQL Dump","True"
"ivf_db_20260301_073624.sql.gz.sha256","105","20260301","2026-03-01 14:36:25","SQL Dump","True"
"ivf_minio_20260301_073206.tar.gz.sha256","108","20260301","2026-03-01 14:32:07","SQL Dump","True"
"ivf_db_20260301_073203.sql.gz.sha256","105","20260301","2026-03-01 14:32:05","SQL Dump","True"
"ivf_minio_20260228_032353.tar.gz.sha256","108","20260228","2026-02-28 10:23:55","SQL Dump","True"
"ivf_db_20260228_032351.sql.gz.sha256","105","20260228","2026-02-28 10:23:52","SQL Dump","True"
"ivf_minio_20260228_025743.tar.gz.sha256","108","20260228","2026-02-28 09:57:44","SQL Dump","True"
"ivf_db_20260228_025741.sql.gz.sha256","105","20260228","2026-02-28 09:57:42","SQL Dump","True"
"ivf_minio_20260228_023638.tar.gz.sha256","108","20260228","2026-02-28 09:36:39","SQL Dump","True"
"ivf_db_20260228_023636.sql.gz.sha256","105","20260228","2026-02-28 09:36:37","SQL Dump","True"
"ivf_minio_20260228_022807.tar.gz.sha256","108","20260228","2026-02-28 09:28:08","SQL Dump","True"
"ivf_db_20260228_022805.sql.gz.sha256","105","20260228","2026-02-28 09:28:06","SQL Dump","True"
"ivf-ca-backup_20260228_090000.tar.gz","133270","20260228","2026-02-28 09:00:05","SQL Dump","False"
"ivf_minio_20260228_020002.tar.gz.sha256","108","20260228","2026-02-28 09:00:04","SQL Dump","True"
"ivf_db_20260228_020000.sql.gz.sha256","105","20260228","2026-02-28 09:00:02","SQL Dump","True"
"ivf_minio_20260227_042053.tar.gz.sha256","108","20260227","2026-02-27 11:20:54","SQL Dump","True"
"ivf_db_20260227_042051.sql.gz.sha256","105","20260227","2026-02-27 11:20:52","SQL Dump","True"
"ivf_minio_20260227_041416.tar.gz.sha256","108","20260227","2026-02-27 11:14:17","SQL Dump","True"
"ivf_db_20260227_041413.sql.gz.sha256","105","20260227","2026-02-27 11:14:15","SQL Dump","True"
"ivf_minio_20260227_040949.tar.gz.sha256","108","20260227","2026-02-27 11:09:50","SQL Dump","True"
"ivf_db_20260227_040947.sql.gz.sha256","105","20260227","2026-02-27 11:09:48","SQL Dump","True"
