"Image","Source","RecordDate"
"postgres:16-alpine","docker-compose.yml","2026-03-04"
"postgres:16-alpine","docker-compose.yml","2026-03-04"
"redis:alpine","docker-compose.yml","2026-03-04"
"keyfactor/ejbca-ce:latest","docker-compose.yml","2026-03-04"
"postgres:16-alpine","docker-compose.yml","2026-03-04"
"keyfactor/signserver-ce:latest","docker-compose.yml","2026-03-04"
"postgres:16-alpine","docker-compose.yml","2026-03-04"
"minio/minio:latest","docker-compose.yml","2026-03-04"
"minio/mc:latest","docker-compose.yml","2026-03-04"
"aquasec/trivy:latest","docker-compose.yml","2026-03-04"
