"Package","Version","Type"
"@angular/animations","^21.1.2","dependency"
"@angular/cdk","^21.1.3","dependency"
"@angular/common","^21.1.0","dependency"
"@angular/compiler","^21.1.0","dependency"
"@angular/core","^21.1.0","dependency"
"@angular/forms","^21.1.0","dependency"
"@angular/platform-browser","^21.1.0","dependency"
"@angular/router","^21.1.0","dependency"
"@digitalpersona/core","^0.2.6","dependency"
"@digitalpersona/devices","^0.2.6","dependency"
"@digitalpersona/websdk","^1.1.0","dependency"
"@microsoft/signalr","^10.0.0","dependency"
"qrcode","^1.5.4","dependency"
"rxjs","~7.8.0","dependency"
"tslib","^2.3.0","dependency"
"zone.js","^0.16.0","dependency"
"@angular/build","^21.1.2","devDependency"
"@angular/cli","^21.1.2","devDependency"
"@angular/compiler-cli","^21.1.0","devDependency"
"@tailwindcss/postcss","^4.2.1","devDependency"
"@types/qrcode","^1.5.6","devDependency"
"postcss","^8.5.6","devDependency"
"tailwindcss","^4.2.1","devDependency"
"typescript","~5.9.2","devDependency"
